id,Paper,Name,Alloy,Nb of phase,Phase,Experimental or theoretical,Experimental details,Theoretical details,Special conditions,Type of solution
7,10.1016-j.jnucmat.2022.154196.txt,10.1016-j.jnucmat.2022.154196.txt,CoCrNi,1,FCC,experimental,"arc melting, Temperature: 1200, Time: 2 hours",N/A,None,Single Solid Solution
7,10.1016-j.jnucmat.2022.154196.txt,10.1016-j.jnucmat.2022.154196.txt,CoCrNiW,1,FCC,experimental,"arc melting, Temperature: 1200, Time: 2 hours",N/A,None,Single Solid Solution
7,10.1016-j.jnucmat.2022.154196.txt,10.1016-j.jnucmat.2022.154196.txt,CoCrNiTi,3,"FCC + L12 (Intermetallic) + (Ni,Co,Cr)3Ti",experimental,"arc melting, Temperature: 1200, Time: 2 hours",N/A,Partially ordered structure formed after irradiation at 700°C,Mixed Solution
8,10.1016-j.jnoncrysol.2023.122392.txt,10.1016-j.jnoncrysol.2023.122392.txt,NbHfTiV,1,BCC,experimental,"arc melting, Temperature: not explicitly stated, typically above 2000°C, Time: not specified",N/A,None,Single Solid Solution
8,10.1016-j.jnoncrysol.2023.122392.txt,10.1016-j.jnoncrysol.2023.122392.txt,AlNbHfTiV,1,amorphous,experimental,"arc melting, Temperature: not explicitly stated, typically above 2000°C, Time: not specified",N/A,None,Amorphous
8,10.1016-j.jnoncrysol.2023.122392.txt,10.1016-j.jnoncrysol.2023.122392.txt,AlNbHfTiVY0.05,2,BCC + partially ordered (Intermetallic),experimental,"arc melting, Temperature: not explicitly stated, typically above 2000°C, Time: not specified",N/A,Partially ordered intermetallic phases,Mixed Solution
8,10.1016-j.jnoncrysol.2023.122392.txt,10.1016-j.jnoncrysol.2023.122392.txt,Al0.75NbHfTiVY0.05,1,BCC,experimental,"arc melting, Temperature: not explicitly stated, typically above 2000°C, Time: not specified",N/A,None,Single Solid Solution
8,10.1016-j.jnoncrysol.2023.122392.txt,10.1016-j.jnoncrysol.2023.122392.txt,Al1.25NbHfTiVY0.05,2,BCC + partially ordered (Intermetallic),experimental,"arc melting, Temperature: not explicitly stated, typically above 2000°C, Time: not specified",N/A,Partially ordered intermetallic phases,Mixed Solution
9,10.1016-j.mtcomm.2023.106922.txt,10.1016-j.mtcomm.2023.106922.txt,TiZrHfNb,2,BCC + HCP,theoretical,"first principles calculations, molecular dynamics, and Monte Carlo methods, Calculation steps: 2000, Temperature: [300, 1000]",N/A,BCC-HCP phase transition observed at 1000 K,Mixed Solution
9,10.1016-j.mtcomm.2023.106922.txt,10.1016-j.mtcomm.2023.106922.txt,MoNbTaW,1,BCC,theoretical,"Density Functional Theory (DFT) based hybrid Monte Carlo and molecular dynamics, Calculation steps: not detailed",N/A,None,Single Solid Solution
9,10.1016-j.mtcomm.2023.106922.txt,10.1016-j.mtcomm.2023.106922.txt,MoNbTaVW,1,BCC,theoretical,"not explicitly stated, Calculation steps: not detailed",N/A,None,Single Solid Solution
9,10.1016-j.mtcomm.2023.106922.txt,10.1016-j.mtcomm.2023.106922.txt,CrNbTiVZr,1,BCC,theoretical,"not explicitly stated, Calculation steps: not detailed",N/A,None,Single Solid Solution
9,10.1016-j.mtcomm.2023.106922.txt,10.1016-j.mtcomm.2023.106922.txt,TiZrHfNbTa,2,BCC + HCP,theoretical,"not explicitly stated, Calculation steps: not detailed",N/A,None,Mixed Solution
9,10.1016-j.mtcomm.2023.106922.txt,10.1016-j.mtcomm.2023.106922.txt,HfMoNbTaZr,1,BCC,theoretical,"not explicitly stated, Calculation steps: not detailed",N/A,Presence of short-range ordered structures,Single Solid Solution
9,10.1016-j.mtcomm.2023.106922.txt,10.1016-j.mtcomm.2023.106922.txt,HfNbTaTiZr,2,BCC + HCP,theoretical,"not explicitly stated, Calculation steps: not detailed",N/A,None,Mixed Solution
9,10.1016-j.mtcomm.2023.106922.txt,10.1016-j.mtcomm.2023.106922.txt,TaNbMoW,1,BCC,theoretical,"DFT-based electronic structure perspective, Calculation steps: not detailed",N/A,Electronic effects control short-range ordered structure,Single Solid Solution
9,10.1016-j.mtcomm.2023.106922.txt,10.1016-j.mtcomm.2023.106922.txt,TiZrNb-based alloys,2,BCC + HCP,theoretical,"not explicitly stated, Calculation steps: not detailed",N/A,None,Mixed Solution
9,10.1016-j.mtcomm.2023.106922.txt,10.1016-j.mtcomm.2023.106922.txt,TaHfNbZr,2,BCC + HCP,experimental,"arc melting, Temperature: 1800, Time: 4 days",N/A,BCC and HCP phases observed after heat treatment,Mixed Solution
9,10.1016-j.mtcomm.2023.106922.txt,10.1016-j.mtcomm.2023.106922.txt,MoNbTaW,1,BCC,theoretical,"Density Functional Theory (DFT) based hybrid Monte Carlo and molecular dynamics, Calculation steps: not detailed",N/A,None,Single Solid Solution
9,10.1016-j.mtcomm.2023.106922.txt,10.1016-j.mtcomm.2023.106922.txt,MoNbTaVW,1,BCC,theoretical,"not explicitly stated, Calculation steps: not detailed",N/A,None,Single Solid Solution
10,10.1016-j.jallcom.2022.165999.txt,10.1016-j.jallcom.2022.165999.txt,CrMnFeCoNi,1,FCC,experimental,"vacuum induction melting, Purity of metals: ≥ 99.9 wt%, Homogenization temperature: 1200, Homogenization duration: 48, Pressure: 3 × 10−5 mbar, Swaging temperature: room temperature, Recrystallization temperature: 1020, Recrystallization duration: 1, Grain size: ~50 µm",N/A,None,Single Solid Solution
11,10.1016-j.surfcoat.2020.126323.txt,10.1016-j.surfcoat.2020.126323.txt,CrMnFeCoNi,3,BCC + complex tetragonal (Intermetallic) + cubic close-packed (FCC),experimental,"magnetron sputtering, Target: spark plasma sintered CrMnFeCoNi compound target, Substrate distance: 130, Dc power: 150, Ar pressure: 3, Gas flow rate: 30, Substrate temperature: varied from RT to 600 °C, Substrate bias: varied from floating bias to −100 V, Deposition time: 60, Film thickness: approximately 500 nm",N/A,"Partially ordered structures present (σ-phase, χ-phase, L10-phase)",Mixed Solution
12,10.1016-j.msea.2022.143784.txt,10.1016-j.msea.2022.143784.txt,Al0.3FeCoNiCr,1,FCC,experimental,"arc melting, Temperature: 1200, Time: 2.5 hours",N/A,None,Single Solid Solution
13,10.1016-j.scriptamat.2022.114624.txt,10.1016-j.scriptamat.2022.114624.txt,AlNbTiZr,1,BCC,theoretical,"Density Functional Theory (DFT), Adsorption energy calculations: True, Electronic structure analysis: True",N/A,None,Single Solid Solution
14,10.1016-j.jmrt.2022.11.167.txt,10.1016-j.jmrt.2022.11.167.txt,TiTaNbMoZr,1,BCC,experimental,"μ-plasma arc additive manufacturing (μ-PAAM), Power supply: 440, Powder feeding rate: 1.7, Deposition head travel speed: 53, Stand-off distance: 9, Shielding gas flow rate: 5, Μ-plasma forming gas flow rate: 0.3",N/A,No partial ordering or high entropy intermetallic structure,Mixed Solution
16,10.1016-j.matchar.2022.112278.txt,10.1016-j.matchar.2022.112278.txt,WMoTaNbVFeCoCrNi,3,BCC + C14 or C15 Laves phase structures + FCC,experimental,"Selective Electron Beam Melting (SEBM), Substrate preheating temperature: 1100, Environment: vacuum (10−3 Pa)",N/A,None,Mixed Solution
17,10.1016-j.materresbull.2024.112681.txt,10.1016-j.materresbull.2024.112681.txt,NiCoMn,1,FCC,experimental,"microwave radiation, Temperature: ambient, Time: 180 seconds",N/A,None,Single Solid Solution
17,10.1016-j.materresbull.2024.112681.txt,10.1016-j.materresbull.2024.112681.txt,NiCoMn0.4,1,FCC,experimental,"microwave radiation, Temperature: ambient, Time: 180 seconds",N/A,None,Single Solid Solution
17,10.1016-j.materresbull.2024.112681.txt,10.1016-j.materresbull.2024.112681.txt,NiCoMn0.8,1,FCC,experimental,"microwave radiation, Temperature: ambient, Time: 180 seconds",N/A,None,Single Solid Solution
17,10.1016-j.materresbull.2024.112681.txt,10.1016-j.materresbull.2024.112681.txt,NiCoMn1.2,1,FCC,experimental,"microwave radiation, Temperature: ambient, Time: 180 seconds",N/A,None,Single Solid Solution
17,10.1016-j.materresbull.2024.112681.txt,10.1016-j.materresbull.2024.112681.txt,NiCoMn1.6,1,FCC,experimental,"microwave radiation, Temperature: ambient, Time: 180 seconds",N/A,None,Single Solid Solution
19,10.1016-j.jallcom.2022.165888.txt,10.1016-j.jallcom.2022.165888.txt,TaNbMoW,3,BCC + FCC + TaNbMoW,experimental,"laser cladding, Laser power: 2.8, Scanning speed: 20, Argon flow: 15, Ultrasonic vibration: {'amplitude': 9.6, 'frequency': 20.5}",N/A,Improved microstructure and properties with ultrasonic vibration,Mixed Solution
19,10.1016-j.jallcom.2022.165888.txt,10.1016-j.jallcom.2022.165888.txt,"(Ni, M)",1,FCC,experimental,"laser cladding, Laser power: 2.8, Scanning speed: 20, Argon flow: 15",N/A,None,Single Solid Solution
20,10.1016-j.ijhydene.2023.12.024.txt,10.1016-j.ijhydene.2023.12.024.txt,PtAlMnCoNiCu,1,FCC,experimental,"pulse microwave (PM) method, Power: 720, Frequency: 2.45, Power-on time: 3, Power-off time: 2, Total cycle number: 120, Maximum temperature: 100",N/A,None,Single Solid Solution
20,10.1016-j.ijhydene.2023.12.024.txt,10.1016-j.ijhydene.2023.12.024.txt,PtAlMnCoNiFe,1,FCC,experimental,"pulse microwave (PM) method, Power: 720, Frequency: 2.45, Power-on time: 3, Power-off time: 2, Total cycle number: 120, Maximum temperature: 100",N/A,None,Single Solid Solution
21,10.1016-j.jallcom.2021.162309.txt,10.1016-j.jallcom.2021.162309.txt,CoCrFeNi,1,FCC,combination,"Cold-spray Additive Manufacturing, Printing pressure: 50, Particle velocities: 600–800 m·s−1, Operating temperature: ~400–500°C","Density Functional Theory, Electronegativity: χ, Valence electron charge: VEC, Average radius: r̄, Misfit parameter δr: δr",None,Single Solid Solution
21,10.1016-j.jallcom.2021.162309.txt,10.1016-j.jallcom.2021.162309.txt,CoCrFeNiCu,1,FCC,combination,"Cold-spray Additive Manufacturing, Printing pressure: 50, Particle velocities: 600–800 m·s−1, Operating temperature: ~400–500°C","Density Functional Theory, Electronegativity: χ, Valence electron charge: VEC, Average radius: r̄, Misfit parameter δr: δr",None,Single Solid Solution
21,10.1016-j.jallcom.2021.162309.txt,10.1016-j.jallcom.2021.162309.txt,CoCrFeNiMo,2,FCC + HCP (Intermetallic),combination,"Cold-spray Additive Manufacturing, Printing pressure: 50, Particle velocities: 600–800 m·s−1, Operating temperature: ~400–500°C","Density Functional Theory, Electronegativity: χ, Valence electron charge: VEC, Average radius: r̄, Misfit parameter δr: δr",None,Mixed Solution
21,10.1016-j.jallcom.2021.162309.txt,10.1016-j.jallcom.2021.162309.txt,CoCrFeNiMoNb,2,FCC + HCP (Intermetallic),combination,"Cold-spray Additive Manufacturing, Printing pressure: 50, Particle velocities: 600–800 m·s−1, Operating temperature: ~400–500°C","Density Functional Theory, Electronegativity: χ, Valence electron charge: VEC, Average radius: r̄, Misfit parameter δr: δr",None,Mixed Solution
21,10.1016-j.jallcom.2021.162309.txt,10.1016-j.jallcom.2021.162309.txt,CoCrFeNiNb,2,FCC + HCP Laves,combination,"Cold-spray Additive Manufacturing, Printing pressure: 50, Particle velocities: 600–800 m·s−1, Operating temperature: ~400–500°C","Density Functional Theory, Electronegativity: χ, Valence electron charge: VEC, Average radius: r̄, Misfit parameter δr: δr",None,Mixed Solution
21,10.1016-j.jallcom.2021.162309.txt,10.1016-j.jallcom.2021.162309.txt,CoCrFeNiNbTix,2,FCC + Tetragonal (Intermetallic),combination,"Cold-spray Additive Manufacturing, Printing pressure: 50, Particle velocities: 600–800 m·s−1, Operating temperature: ~400–500°C","Density Functional Theory, Electronegativity: χ, Valence electron charge: VEC, Average radius: r̄, Misfit parameter δr: δr",None,Mixed Solution
21,10.1016-j.jallcom.2021.162309.txt,10.1016-j.jallcom.2021.162309.txt,CoCrFeNiYMox,2,FCC + HCP (Intermetallic),combination,"Cold-spray Additive Manufacturing, Printing pressure: 50, Particle velocities: 600–800 m·s−1, Operating temperature: ~400–500°C","Density Functional Theory, Electronegativity: χ, Valence electron charge: VEC, Average radius: r̄, Misfit parameter δr: δr",None,Mixed Solution
21,10.1016-j.jallcom.2021.162309.txt,10.1016-j.jallcom.2021.162309.txt,CoCrFeNiYx,1,FCC,combination,"Cold-spray Additive Manufacturing, Printing pressure: 50, Particle velocities: 600–800 m·s−1, Operating temperature: ~400–500°C","Density Functional Theory, Electronegativity: χ, Valence electron charge: VEC, Average radius: r̄, Misfit parameter δr: δr",None,Single Solid Solution
21,10.1016-j.jallcom.2021.162309.txt,10.1016-j.jallcom.2021.162309.txt,CoCrFeNiZr,1,FCC,combination,"Cold-spray Additive Manufacturing, Printing pressure: 50, Particle velocities: 600–800 m·s−1, Operating temperature: ~400–500°C","Density Functional Theory, Electronegativity: χ, Valence electron charge: VEC, Average radius: r̄, Misfit parameter δr: δr",None,Single Solid Solution
21,10.1016-j.jallcom.2021.162309.txt,10.1016-j.jallcom.2021.162309.txt,FeCoNiCrMn,1,FCC,combination,"Cold-spray Additive Manufacturing, Printing pressure: 50, Particle velocities: 600–800 m·s−1, Operating temperature: ~400–500°C","Density Functional Theory, Electronegativity: χ, Valence electron charge: VEC, Average radius: r̄, Misfit parameter δr: δr",None,Single Solid Solution
21,10.1016-j.jallcom.2021.162309.txt,10.1016-j.jallcom.2021.162309.txt,CoCrFe0.75NiMo0.3Nb0.125,2,FCC + HCP (Intermetallic),combination,"Cold-spray Additive Manufacturing, Printing pressure: 50, Particle velocities: 600–800 m·s−1, Operating temperature: ~400–500°C","Density Functional Theory, Electronegativity: χ, Valence electron charge: VEC, Average radius: r̄, Misfit parameter δr: δr",None,Mixed Solution
21,10.1016-j.jallcom.2021.162309.txt,10.1016-j.jallcom.2021.162309.txt,CoCrFeNiMox,2,FCC + HCP (Intermetallic),combination,"Cold-spray Additive Manufacturing, Printing pressure: 50, Particle velocities: 600–800 m·s−1, Operating temperature: ~400–500°C","Density Functional Theory, Electronegativity: χ, Valence electron charge: VEC, Average radius: r̄, Misfit parameter δr: δr",None,Mixed Solution
22,10.1016-j.actamat.2020.09.070.txt,10.1016-j.actamat.2020.09.070.txt,CoCrFeMnNi,1,FCC,theoretical,"Density Functional Theory (DFT), Plane-wave cut-off energy: 450, Smearing method: First-order Methfessel-Paxton with smearing parameter 0.1 eV, K-mesh spacing: 0.02, Convergence criteria: {'electron energy relaxation': 1e-06, 'ionic force relaxation': 10}, Magnetic states: Collinear paramagnetic model",N/A,None,Single Solid Solution
22,10.1016-j.actamat.2020.09.070.txt,10.1016-j.actamat.2020.09.070.txt,CoCrFeNi,1,FCC,theoretical,"Density Functional Theory (DFT), Plane-wave cut-off energy: 450, Smearing method: First-order Methfessel-Paxton with smearing parameter 0.1 eV, K-mesh spacing: 0.02, Convergence criteria: {'electron energy relaxation': 1e-06, 'ionic force relaxation': 10}, Magnetic states: Collinear paramagnetic model",N/A,None,Single Solid Solution
23,10.1016-j.msea.2018.05.041.txt,10.1016-j.msea.2018.05.041.txt,AlCoCrFeMnNi,3,BCC B2 + FCC + Not specified,experimental,"vacuum induction melting (VIM), Elements: pure elements with purity above 99.9%, Temperature: 1200, Time: 6 hours, Cooling: controlled cooling to room temperature, Cold rolling: thickness reduction from 7.0 to 1.5 mm (reduction ratio: 78.6%)",N/A,Partially ordered B2 phase observed after annealing at lower temperatures (1000 °C and 1100 °C),Mixed Solution
24,10.1016-j.intermet.2022.107707.txt,10.1016-j.intermet.2022.107707.txt,NbMoTaW,2,BCC + MoTa,combination,"Not explicitly stated, typically arc melting or spark plasma sintering, Temperature: Not specified, Pressure: Not specified, Time: Not specified","Hybrid molecular dynamics (MD)/Monte Carlo (MC) simulations, Temperature: [50, 300, 700, 1200], Strain rate: 200000000.0, Supercell dimensions: [20, 20, 20], Atomic positions: randomly distributed, Mc swaps: 5000",Partially ordered structure with short-range order (SRO) at lower temperatures,Mixed Solution
26,10.1016-j.mtla.2021.101284.txt,10.1016-j.mtla.2021.101284.txt,Cr24Mn6Fe40Co24Ni6,2,FCC + HCP,experimental,"arc melting, Temperature: 1600, Time: 30 minutes",N/A,None,Mixed Solution
26,10.1016-j.mtla.2021.101284.txt,10.1016-j.mtla.2021.101284.txt,Cr22Mn6Fe40Co26Ni6,2,FCC + HCP,experimental,"arc melting, Temperature: 1600, Time: 30 minutes",N/A,None,Mixed Solution
26,10.1016-j.mtla.2021.101284.txt,10.1016-j.mtla.2021.101284.txt,Cr26Mn6Fe40Co22Ni6,3,BCC + FCC + HCP,experimental,"arc melting, Temperature: 1600, Time: 30 minutes",N/A,None,Mixed Solution
26,10.1016-j.mtla.2021.101284.txt,10.1016-j.mtla.2021.101284.txt,CrMnFeCoNi,2,FCC + HCP,experimental,"arc melting, Temperature: 1600, Time: 30 minutes",N/A,None,Mixed Solution
26,10.1016-j.mtla.2021.101284.txt,10.1016-j.mtla.2021.101284.txt,AlCr24Mn6Fe40Co24Ni6,3,BCC (Intermetallic) + FCC + NiAl,experimental,"arc melting, Temperature: 1600, Time: 30 minutes",N/A,None,Mixed Solution
26,10.1016-j.mtla.2021.101284.txt,10.1016-j.mtla.2021.101284.txt,Al2.5Cr24Mn6Fe40Co24Ni6,1,FCC,experimental,"arc melting, Temperature: 1600, Time: 30 minutes",N/A,None,Single Solid Solution
26,10.1016-j.mtla.2021.101284.txt,10.1016-j.mtla.2021.101284.txt,Al10Cr24Mn6Fe40Co24Ni6,3,BCC (Intermetallic) + FCC + NiAl,experimental,"arc melting, Temperature: 1600, Time: 30 minutes",N/A,None,Mixed Solution
26,10.1016-j.mtla.2021.101284.txt,10.1016-j.mtla.2021.101284.txt,Al4Cr24Mn6Fe40Co24Ni6,3,BCC (Intermetallic) + FCC + NiAl,experimental,"arc melting, Temperature: 1600, Time: 30 minutes",N/A,None,Mixed Solution
26,10.1016-j.mtla.2021.101284.txt,10.1016-j.mtla.2021.101284.txt,Al1.5Cr24Mn6Fe40Co24Ni6,2,FCC + HCP,experimental,"arc melting, Temperature: 1600, Time: 30 minutes",N/A,None,Mixed Solution
26,10.1016-j.mtla.2021.101284.txt,10.1016-j.mtla.2021.101284.txt,Al0.5Cr24Mn6Fe40Co24Ni6,2,FCC + HCP,experimental,"arc melting, Temperature: 1600, Time: 30 minutes",N/A,None,Mixed Solution
26,10.1016-j.mtla.2021.101284.txt,10.1016-j.mtla.2021.101284.txt,Al3Cr24Mn6Fe40Co24Ni6,2,FCC + HCP,experimental,"arc melting, Temperature: 1600, Time: 30 minutes",N/A,None,Mixed Solution
26,10.1016-j.mtla.2021.101284.txt,10.1016-j.mtla.2021.101284.txt,Al2Cr24Mn6Fe40Co24Ni6,2,FCC + HCP,experimental,"arc melting, Temperature: 1600, Time: 30 minutes",N/A,None,Mixed Solution
27,10.1016-j.matlet.2023.135090.txt,10.1016-j.matlet.2023.135090.txt,AlCoCrFeNi,5,FCC + HCP + complex cubic + AlCoCrFeNi7C3 + AlCoCrFeNi23C6,experimental,"spark plasma sintering (SPS), Axial pressure: 20, Temperature: 950, Heating rate: 100, Holding time: 20",N/A,Carburized coating with double-layer structure,Mixed Solution
27,10.1016-j.matlet.2023.135090.txt,10.1016-j.matlet.2023.135090.txt,CoCrFeNi,1,FCC,experimental,"arc melting, Temperature: not explicitly stated, Time: not explicitly stated",N/A,None,Single Solid Solution
27,10.1016-j.matlet.2023.135090.txt,10.1016-j.matlet.2023.135090.txt,CoCrFeNiC0.7,3,FCC + HCP + CoCrFeNi7C3,experimental,"traditional solid carburization, Temperature: not explicitly stated, Time: not explicitly stated",N/A,None,Mixed Solution
28,10.1016-j.jeurceramsoc.2020.08.050.txt,10.1016-j.jeurceramsoc.2020.08.050.txt,CoFeNiCrCu,3,C14 or C15 Laves Phase + FCC + orthorhombic,experimental,"arc melting, Elements: ['Co', 'Cr', 'Fe', 'Cu', 'Ni'], Purity: >99.95%, Atmosphere: Ti-gettered argon, Master alloys: remelted 4 times, Casting: into copper mold, Thickness preparation: cut into 0.6 mm and polished to 0.4 mm, Cleaning: ultrasonically cleaned in acetone for 10 minutes",N/A,None,Mixed Solution
29,10.1016-j.matlet.2022.132548.txt,10.1016-j.matlet.2022.132548.txt,AlTiNbVZr,1,BCC,experimental,"vacuum arc melting, Temperature: 1323, Time: 90 minutes, Cooling method: water quenching",N/A,None,Single Solid Solution
30,10.1016-j.surfcoat.2023.130082.txt,10.1016-j.surfcoat.2023.130082.txt,Fe45Mn35Co10Cr10,1,FCC,experimental,"plasma spraying and laser remelting, Plasma spraying: {'current': 584, 'voltage': 69.5, 'power': 20, 'powder_feeding_Ar_flow': 4, 'primary_Ar_gas_flow': 42, 'secondary_H2_gas_flow': 5, 'powder_feed_rate': 46, 'spraying_distance': 140}, Laser remelting: {'laser_power': 800, 'scanning_speed': 2, 'spot_diameter': 4, 'Ar_gas_flow': 20, 'overlap_rate': 50}",N/A,None,Single Solid Solution
31,10.1016-j.optlastec.2023.109172.txt,10.1016-j.optlastec.2023.109172.txt,CoCrMoNbTi(B4C)x,5,BCC + HCP + cubic + TiC + TiB,experimental,"laser cladding, Laser power: 1500, Laser scanning speed: 5, Laser spot diameter: 3, Overlap rate: 35, Focal distance: 10, Atmosphere: oxygen content below 50 PPM, Protective gas: high purity argon gas, Powder feed gas: argon gas",N/A,None,Mixed Solution
32,10.1016-j.msea.2023.144722.txt,10.1016-j.msea.2023.144722.txt,Fe42Mn28Co10Cr15Si5,4,FCC + HCP + tetragonal + FeMnCoCrSi,experimental,"gas tungsten arc welding, Shielding gas: 99.99% Ar, Flow rate: 14, Welding parameters: Listed in Table 1 of the paper",N/A,Partially ordered σ phase,Mixed Solution
33,10.1016-j.jmst.2021.03.005.txt,10.1016-j.jmst.2021.03.005.txt,AlCoFeNi,2,BCC B2 (Intermetallic) + FCC L12 (Intermetallic),experimental,"arc melting, Temperature: Not specified, Time: Re-melted at least five times",N/A,No nano-precipitates in B2 phase due to Cr-element removal,Mixed Solution
34,10.1016-j.scriptamat.2021.114454.txt,10.1016-j.scriptamat.2021.114454.txt,FeMnCoCrNi,2,FCC + amorphous,experimental,"magnetron sputtering, Details: Parameters not specified in the given text",N/A,Cr-enrichment in the amorphous shell,Mixed Solution
35,10.1016-j.jallcom.2023.170579.txt,10.1016-j.jallcom.2023.170579.txt,FeCoNiCrB0,1,FCC,Experimental,"3D high-energy ball-milling, Raw materials: Raw metal powders (≥ 99.9% purity, >200 meshes) and B powders (≥ 99.9% purity, ≤ 40 μm), Equipment: SFM-3 high-frequency swing mill (Kejing, China), Procedure: Powders were dry-milled for 0.5 hours, paused for 10 minutes, repeated 12 times, and then milled with 20 mL ethanol for another 1 hour.",N/A,None,Single Solid Solution
35,10.1016-j.jallcom.2023.170579.txt,10.1016-j.jallcom.2023.170579.txt,FeCoNiCrB0.01,1,FCC,Experimental,"3D high-energy ball-milling, Raw materials: Raw metal powders (≥ 99.9% purity, >200 meshes) and B powders (≥ 99.9% purity, ≤ 40 μm), Equipment: SFM-3 high-frequency swing mill (Kejing, China), Procedure: Powders were dry-milled for 0.5 hours, paused for 10 minutes, repeated 12 times, and then milled with 20 mL ethanol for another 1 hour.",N/A,None,Single Solid Solution
35,10.1016-j.jallcom.2023.170579.txt,10.1016-j.jallcom.2023.170579.txt,FeCoNiCrB0.05,1,FCC,Experimental,"3D high-energy ball-milling, Raw materials: Raw metal powders (≥ 99.9% purity, >200 meshes) and B powders (≥ 99.9% purity, ≤ 40 μm), Equipment: SFM-3 high-frequency swing mill (Kejing, China), Procedure: Powders were dry-milled for 0.5 hours, paused for 10 minutes, repeated 12 times, and then milled with 20 mL ethanol for another 1 hour.",N/A,None,Single Solid Solution
35,10.1016-j.jallcom.2023.170579.txt,10.1016-j.jallcom.2023.170579.txt,FeCoNiCrB0.1,1,FCC,Experimental,"3D high-energy ball-milling, Raw materials: Raw metal powders (≥ 99.9% purity, >200 meshes) and B powders (≥ 99.9% purity, ≤ 40 μm), Equipment: SFM-3 high-frequency swing mill (Kejing, China), Procedure: Powders were dry-milled for 0.5 hours, paused for 10 minutes, repeated 12 times, and then milled with 20 mL ethanol for another 1 hour.",N/A,None,Single Solid Solution
